YTID,start_seconds,end_seconds,positive_labels
-RVkSYiSyfI,20.0,30.0,"/m/07yv9,/t/dd00129"
-RbwX4LX-2U,170.0,180.0,/t/dd00129
-T00ZiRs0wg,30.0,40.0,/t/dd00129
-T8PkYHkab8,320.0,330.0,"/m/02mk9,/m/07yv9,/t/dd00129"
-U0ix4MDrYo,30.0,40.0,"/m/01g50p,/m/07jdr,/m/07yv9,/t/dd00129"
-UDEpXTiVvY,20.0,30.0,/t/dd00129
-UcCryhiyxc,80.0,90.0,"/m/04_sv,/m/07yv9,/t/dd00129"
-Ui58Lw-h1s,30.0,40.0,"/m/04rlf,/t/dd00129"
-Uk3rZ5VbBc,110.0,120.0,/t/dd00129
-UsEewf2-yE,70.0,80.0,"/m/04rlf,/t/dd00129"
-VNe0_Y3Ex0,80.0,90.0,"/m/04rlf,/t/dd00129"
-VPRmv8KxJE,310.0,320.0,"/m/04rlf,/t/dd00129"
-VtyV88riFs,0.0,10.0,"/m/07hvw1,/t/dd00129"
-WP9PsTSQrU,330.0,340.0,"/m/04rlf,/t/dd00129"
-Wa9JhAumGw,200.0,210.0,"/m/07r67yg,/t/dd00129"
-Wdoph77l-E,30.0,40.0,/t/dd00129
-WsmwJzAgLo,220.0,230.0,"/m/07yv9,/m/0k4j,/m/0ltv,/t/dd00129"
-XLSWr8TIAQ,100.0,110.0,"/m/07r04,/m/07yv9,/t/dd00129"
-YeWo-1Lbx0,10.0,20.0,/t/dd00129
-YkMiYqlnfI,270.0,280.0,"/m/04_sv,/m/07q2z82,/m/07yv9,/t/dd00129"
-YqGi6HI_y8,150.0,160.0,/t/dd00129
-Z5tNVAqGnE,60.0,70.0,"/m/04rlf,/t/dd00129"
-Z9v7tIuDYE,410.0,420.0,"/m/07yv9,/m/0k4j,/m/0ltv,/t/dd00129"
-ZOBZiX7La8,310.0,320.0,/t/dd00129
-ZoDTivLPpI,30.0,40.0,"/m/07pb8fc,/m/07yv9,/m/0k4j,/t/dd00129,/t/dd00130"
-_CIGrwit6I,80.0,90.0,"/m/04rlf,/t/dd00129"
-aCJTBHkTH0,140.0,150.0,"/m/04rlf,/t/dd00129"
-aM7oFa0caE,70.0,80.0,/t/dd00129
-aMWcEGS5wo,160.0,170.0,"/m/01hgjl,/m/04rlf,/t/dd00129"
-aec_pGW3QE,400.0,410.0,"/m/0cj0r,/t/dd00129"
-auXfTQQZbw,100.0,110.0,"/m/0jbk,/t/dd00129"
-bKcJ4pOmS0,100.0,110.0,/t/dd00129
-bMO66ajBN0,30.0,40.0,"/m/05x_td,/t/dd00129"
-bXWwiG1sWA,30.0,40.0,/t/dd00129
-bnUrVBeL4Y,30.0,40.0,/t/dd00129
-d8yH6tO29g,30.0,40.0,"/m/0jbk,/t/dd00129"
-dA_Nb-lGbw,150.0,160.0,"/m/06_y0by,/t/dd00129"
-eO7J5kuaUg,0.0,10.0,"/m/04_sv,/m/07yv9,/t/dd00129"
-eYuu9hoXtk,0.0,10.0,"/m/04rlf,/t/dd00129"
-edIflPTNHw,590.0,600.0,"/m/07pb8fc,/m/07r04,/m/07yv9,/t/dd00129"
-g9QVis-LnI,17.0,27.0,/t/dd00129
-ga9B5yFFzs,0.0,9.0,"/m/07yv9,/t/dd00129"
-hJoXBvt-AI,250.0,260.0,"/m/02mk9,/m/06d_3,/m/07jdr,/m/07qn4z3,/m/07yv9,/t/dd00129"
-hL1N_Ta3ag,30.0,40.0,/t/dd00129
-heLP821ih8,30.0,40.0,/t/dd00129
-ho8Za0SWUk,260.0,270.0,"/m/07yv9,/t/dd00129"
-i_wUo7UquY,370.0,380.0,"/m/07yv9,/t/dd00129"
-ighQKMpcy4,10.0,20.0,"/m/06h7j,/t/dd00129"
-ij2rlABnL0,30.0,40.0,"/m/0jbk,/t/dd00129"
-ikp0odAJvE,10.0,20.0,/t/dd00129
-jD2x24rNOQ,20.0,30.0,"/m/07r04,/m/07yv9,/t/dd00129"
-jI2_vtviLc,50.0,60.0,/t/dd00129
-jRnhkfcyXs,40.0,50.0,/t/dd00129
-kD0sXKjNEw,310.0,320.0,/t/dd00129
-klXBZvskWQ,2.0,12.0,"/m/06h7j,/t/dd00129"
-kpWOVZ0aUw,30.0,40.0,"/m/078jl,/t/dd00129"
-kyWo7y-rJQ,10.0,20.0,"/m/07r04,/m/07yv9,/t/dd00129"
-kzwYWymlj4,90.0,100.0,"/m/04rlf,/t/dd00129"
-lg_Oz9glTY,40.0,50.0,"/m/07yv9,/m/0k4j,/m/0ltv,/t/dd00129"
-lrmsVd4s5c,30.0,40.0,"/m/078jl,/m/0jbk,/t/dd00129"
-lytFki9JIs,160.0,170.0,"/m/07yv9,/t/dd00129"
-mDWDJdOKa8,20.0,30.0,"/m/068hy,/m/068zj,/m/0bt9lr,/m/0jbk,/t/dd00129"
-maGOzOreZg,60.0,70.0,"/m/028v0c,/m/04rlf,/t/dd00129"
-mnwM6JIzDU,0.0,10.0,"/m/04rlf,/t/dd00126,/t/dd00129"
-mq8XW5I6XE,0.0,10.0,"/m/04rlf,/m/07pc8lb,/t/dd00129"
-msUNM0tQIw,320.0,330.0,"/m/01d380,/t/dd00129"
-nMW6FAA0u8,30.0,40.0,"/m/07yv9,/m/0k4j,/t/dd00129"
-nf3LnaqOPQ,0.0,10.0,"/m/07yv9,/m/0k4j,/t/dd00129"
-nlsPRneVO0,40.0,50.0,"/m/07r04,/m/07yv9,/t/dd00129"
-o5xd9DGWYg,120.0,130.0,"/m/07yv9,/m/0k4j,/t/dd00129"
-o9U4r6_JFA,40.0,50.0,"/m/07yv9,/m/0k4j,/t/dd00129"
-oVYdOqefuk,70.0,80.0,"/m/028v0c,/t/dd00129"
-pNlNDrfdmQ,120.0,130.0,/t/dd00129
-pli2-Y_Hw4,30.0,40.0,"/m/04rlf,/t/dd00129"
-qMR6DR9N20,0.0,10.0,"/m/04rlf,/t/dd00129"
-rCGeA7H8ig,10.0,20.0,"/m/04_sv,/m/07yv9,/t/dd00129"
-rdjUIVtyZg,50.0,60.0,"/m/07yv9,/m/0k4j,/m/0ltv,/t/dd00129"
-swGaac4Eck,90.0,100.0,"/m/07yv9,/m/0k4j,/t/dd00129"
-tE728YH5oA,120.0,130.0,"/m/07yv9,/m/0k4j,/t/dd00129"
-tqVhleTFjA,0.0,10.0,"/m/07yv9,/t/dd00129"
-uBucuEllR4,30.0,40.0,"/m/04rlf,/m/07xzm,/t/dd00129"
-uS8Q0bUhw8,20.0,30.0,"/m/07yv9,/t/dd00129"
-un6DifC4hY,20.0,30.0,"/m/01g50p,/m/06d_3,/m/07jdr,/m/07yv9,/t/dd00129"
-uqLX6NPrEQ,380.0,390.0,"/m/07yv9,/t/dd00129"
-vLtyuqMMuI,150.0,160.0,"/m/04rlf,/t/dd00129"
-w3ye6WDomI,590.0,600.0,"/m/03m9d0z,/t/dd00129"
-wblF8Yd3pQ,590.0,600.0,"/m/04_sv,/m/07yv9,/t/dd00129"
-wuQS1C8gno,110.0,120.0,/t/dd00129
-wvcQvfx_Ag,120.0,130.0,"/m/07r04,/m/07yv9,/m/0ltv,/t/dd00129"
-xTjfj-_CmU,40.0,50.0,"/m/04rlf,/t/dd00129"
-yNARDResRQ,260.0,270.0,/t/dd00129
-ywhDc6cCk4,130.0,140.0,"/m/07yv9,/m/0k4j,/t/dd00129"
-z3Aud0dtCU,40.0,50.0,"/m/04rlf,/t/dd00129"
-zKMMAkOZCg,110.0,120.0,"/m/04_sv,/m/04rlf,/m/07yv9,/t/dd00129"
-zyaQrQ0K8U,140.0,150.0,"/m/028v0c,/t/dd00129"
0-ZjaeDAvos,0.0,10.0,"/m/01g50p,/m/028v0c,/m/06d_3,/m/07jdr,/m/07yv9,/t/dd00129"
0-jB1To_KiQ,180.0,190.0,"/m/07qv_d5,/m/07r04,/m/07yv9,/t/dd00129"
005Cw_qXulQ,30.0,40.0,/t/dd00129
00VkrNIDD-w,190.0,200.0,"/m/07yv9,/t/dd00129"
00kJM_6wH0c,50.0,60.0,"/m/07yv9,/m/0k4j,/m/0ltv,/t/dd00129"
00mHMby5Uow,27.0,37.0,/t/dd00129
00vw-MZhR7s,0.0,10.0,"/m/04_sv,/m/07yv9,/t/dd00129"
0204UXDtXHE,20.0,30.0,"/m/04rlf,/t/dd00129"
021cVMlKRz8,12.0,22.0,/t/dd00129
02Dx5PHJOT4,40.0,50.0,/t/dd00129
02ObMuwUEvs,50.0,60.0,"/m/01jwx6,/m/02mk9,/m/07yv9,/t/dd00129"
03IXdursKyE,330.0,340.0,"/m/07yv9,/t/dd00129"
03ZM-kRvvbE,27.0,37.0,"/m/01g50p,/m/07jdr,/m/07yv9,/t/dd00129"
03tSu6C05CI,30.0,40.0,"/m/06h7j,/t/dd00129"
04PZfGR6Lgg,490.0,500.0,"/m/04rlf,/m/07yv9,/m/0k4j,/t/dd00129"
04VG5xPYxFw,70.0,80.0,"/m/04_sv,/m/07yv9,/t/dd00129"
04qfXtppa1k,10.0,20.0,"/m/04_sv,/m/07yv9,/t/dd00129"
05QKeEfeQsM,30.0,40.0,"/m/078jl,/m/0jbk,/t/dd00129"
05qli5c60k4,260.0,270.0,"/m/04rlf,/t/dd00129"
062OhTG1SZY,30.0,40.0,/t/dd00129
0670fCZ83d8,0.0,10.0,"/m/07yv9,/t/dd00129"
06Nm503MdYM,0.0,10.0,"/m/04rlf,/t/dd00129"
073uwObG3Tc,0.0,10.0,"/m/07yv9,/m/0k4j,/t/dd00129"
07pyAY0R98s,60.0,70.0,"/m/07yv9,/m/0k4j,/t/dd00129"
08cBNU0KgWw,0.0,10.0,"/m/028v0c,/m/07yv9,/t/dd00129"
099iVTur244,50.0,60.0,"/m/04rlf,/t/dd00129"
09aPQ_IFxRQ,20.0,30.0,"/m/04rlf,/t/dd00129"
0AYEhAKVnOM,80.0,90.0,"/m/015lz1,/m/04rlf,/t/dd00129"
0Az4z8Bev5Y,30.0,40.0,"/m/0912c9,/t/dd00129"
0BDy83zQCAg,30.0,40.0,"/m/0jbk,/t/dd00129"
0BHO-M8mGRw,10.0,20.0,/t/dd00129
0BQ0k2sFOzQ,160.0,170.0,"/m/04_sv,/m/07yv9,/t/dd00129"
0ByhGREq6TQ,20.0,30.0,/t/dd00129
0Cuc3s6cL_4,120.0,130.0,/t/dd00129
0CxUbqBkh78,260.0,270.0,"/m/07yv9,/t/dd00129"
0DzUuQCgjW0,380.0,390.0,/t/dd00129
0EEW9bOn_2Y,190.0,200.0,"/m/0199g,/m/07yv9,/t/dd00129"
0Etq5r_9pNI,30.0,40.0,/t/dd00129
0Evtp8U6Vqk,0.0,10.0,"/m/028v0c,/m/02y_763,/t/dd00125,/t/dd00129"
0F60HWwdsRI,30.0,40.0,/t/dd00129
0FUkw2m61lI,90.0,100.0,"/m/07yv9,/t/dd00129"
0GCi5nST0oo,370.0,380.0,/t/dd00129
0GRs2BhVgfw,70.0,80.0,"/m/07yv9,/t/dd00129"
0HOdeJZo398,30.0,40.0,"/m/06h7j,/t/dd00129"
0HwWQ0HBwho,30.0,40.0,"/m/019jd,/m/07yv9,/t/dd00129"
0IKOnABMgcM,20.0,30.0,/t/dd00129
0IO21PzW1jg,580.0,590.0,"/m/04zmvq,/m/06d_3,/m/07jdr,/m/07yv9,/t/dd00129"
0Iqqp20NjLA,340.0,350.0,"/m/04rlf,/t/dd00129"
0IuIoMuJoNs,40.0,50.0,"/m/07yv9,/m/0k4j,/t/dd00129"
0JR1d3nk94M,440.0,450.0,"/m/04rlf,/t/dd00129"
0JjNJJ13AUI,50.0,60.0,"/m/04cvmfc,/t/dd00129"
0JuIbExwhVQ,10.0,20.0,/t/dd00129
0Jvkg8fEhT4,440.0,450.0,/t/dd00129
0JzXJvh9c58,30.0,40.0,"/m/07yv9,/t/dd00129"
0K0zT1lxc1o,0.0,10.0,"/m/07yv9,/m/0k4j,/t/dd00129"
0KRZZN39pUY,70.0,80.0,"/m/068hy,/m/0bt9lr,/m/0jbk,/t/dd00129"
0LBQ5LDzVMI,20.0,30.0,/t/dd00129
0LLjVJihX0M,30.0,40.0,"/m/0jbk,/t/dd00129"
0LNvVnTFAAI,40.0,50.0,"/m/07yv9,/t/dd00129"
0M8rfh4EzfI,10.0,20.0,"/m/014yck,/m/07yv9,/m/0cmf2,/t/dd00129"
0MNeKnRCZig,170.0,180.0,"/m/04rlf,/t/dd00129"
0MPpy15_9R4,20.0,30.0,"/m/07pb8fc,/m/07yv9,/m/0k4j,/t/dd00129"
0MQnV9RA0EM,70.0,80.0,"/m/07yv9,/m/0k5j,/t/dd00129"
0Mzdxr6F58I,340.0,350.0,"/m/07yv9,/m/0k4j,/m/0ltv,/t/dd00129"
0OunI6ngE7Y,480.0,490.0,"/m/07yv9,/t/dd00129"
0OvK6Ovk190,180.0,190.0,"/m/019jd,/m/04rlf,/m/07yv9,/m/0hsrw,/t/dd00129"
0P41wrvWX08,340.0,350.0,"/m/04rlf,/t/dd00129"
0PAVdmDpmT4,0.0,10.0,"/m/07r04,/m/07yv9,/t/dd00129"
0PqZwEUUDqs,10.0,20.0,"/m/07r04,/m/07yv9,/t/dd00129"
0Q388PuFVYk,0.0,10.0,"/m/04rlf,/t/dd00129"
0QwW4IRkIaY,590.0,600.0,/t/dd00129
0RvIj3QPxfU,560.0,570.0,"/m/03vt0,/t/dd00129"
0Rw_H-sIpdk,150.0,160.0,/t/dd00129
0S-Hrc8gdpc,90.0,100.0,"/m/04rlf,/t/dd00129"
0S9HEThlVq4,490.0,500.0,"/m/07yv9,/t/dd00129"
0SA1bLp85ho,160.0,170.0,"/m/07yv9,/t/dd00129"
0ScNBWb4Ljo,50.0,60.0,"/m/0k4j,/t/dd00129"
0Syh0_cJanE,130.0,140.0,/t/dd00129
0T-8ty9CJ2A,30.0,40.0,/t/dd00129
0TDyMh1wElI,20.0,30.0,"/m/028v0c,/t/dd00129"
0TqC-iikOKY,10.0,20.0,"/m/07pb8fc,/m/07r04,/m/07yv9,/t/dd00129"
0V6_SjLGa7E,30.0,40.0,"/m/01g50p,/m/07jdr,/m/07yv9,/t/dd00129"
0VH9eKi4Vc4,0.0,10.0,"/m/07yv9,/m/0k4j,/t/dd00129"
0W-2PT_7tRY,40.0,50.0,"/m/07r04,/m/07yv9,/t/dd00129"
0W4zZ727h9M,0.0,10.0,"/m/07yv9,/m/0k4j,/t/dd00129"
0X1Skjuj6c8,30.0,40.0,"/m/07r04,/m/07yv9,/t/dd00129,/t/dd00130"
0X3At8T0Z48,0.0,10.0,/t/dd00129
0X44HjoHGcU,190.0,200.0,"/m/07yv9,/t/dd00129"
0XCDobVknnc,30.0,40.0,"/m/07yv9,/m/0k4j,/m/0ltv,/t/dd00129"
0XKaQKywFDA,10.0,20.0,"/m/04_sv,/m/07yv9,/t/dd00129"
0XXl_YDP8Xs,120.0,130.0,"/m/07yv9,/t/dd00129"
0XbqYXFS3I0,10.0,20.0,"/m/01bjv,/m/07pb8fc,/m/07yv9,/t/dd00129"
0XdliNk2L0M,20.0,30.0,"/m/04rlf,/t/dd00129"
0Xe0UhjDnRY,400.0,410.0,/t/dd00129
0XpRRYZZs5o,340.0,350.0,"/m/04_sv,/m/07yv9,/t/dd00129"
0YYanLizhGA,370.0,380.0,"/m/07yv9,/t/dd00129"
0YZekjlmwzo,170.0,180.0,"/m/07yv9,/m/0k4j,/t/dd00129"
0YnYanswwIU,100.0,110.0,"/m/07yv9,/m/0cmf2,/m/0k5j,/t/dd00129"
0YwBg5kpB8I,20.0,30.0,"/m/028v0c,/t/dd00129"
0ZA4PeKfvwY,150.0,160.0,"/m/07r04,/m/07yv9,/t/dd00129"
0ZKiEOtVVYk,30.0,40.0,"/m/0jbk,/t/dd00129"
0ZsgWQFoJYA,140.0,150.0,"/m/07yv9,/t/dd00129"
0_K3f1Ik3SI,10.0,20.0,"/m/01kcd,/m/04rlf,/m/04szw,/m/07gql,/t/dd00129"
0_lqcfWQLmA,0.0,10.0,/t/dd00129
0a8Xc_R_V80,10.0,20.0,/t/dd00129
0amTO1gvkZw,10.0,20.0,/t/dd00129
0apg5CAwaFI,40.0,50.0,"/m/04rlf,/m/0h9mv,/t/dd00129"
0bC3y5yVrUk,230.0,240.0,"/m/07yv9,/t/dd00129"
0bNPa1EJpEE,120.0,130.0,"/m/02mk9,/m/07yv9,/t/dd00129"
0bgKwn1tfSw,30.0,40.0,"/m/04rlf,/t/dd00129"
0c-HUUdescQ,0.0,9.0,"/m/07yv9,/m/0912c9,/t/dd00129"
0c6UxHEbCcE,30.0,40.0,"/m/0jbk,/t/dd00129"
0c8T9yLq2MQ,190.0,200.0,/t/dd00129
0cap9ZhNM34,390.0,400.0,/t/dd00129
0d3qRg2Ev_s,240.0,250.0,/t/dd00129
0dLD4UwEqoU,10.0,20.0,/t/dd00129
0d_Z3Xi-jJQ,60.0,70.0,"/m/019jd,/m/05kq4,/m/07yv9,/m/0hsrw,/t/dd00129"
0dsiF9KUpLo,10.0,20.0,"/m/03k3r,/m/0ch8v,/m/0jbk,/t/dd00129"
0e5MpqG4TiE,490.0,500.0,"/m/04rlf,/t/dd00129"
0eGh6pXFUU8,30.0,40.0,"/m/078jl,/t/dd00129"
0er5-iJmlBE,40.0,50.0,"/m/068hy,/m/0bt9lr,/m/0jbk,/t/dd00129"
0exUxI43uso,480.0,490.0,"/m/04rlf,/t/dd00129"
0f9gaEeAZys,0.0,10.0,/t/dd00129
0fHcHtJ51sk,30.0,40.0,"/m/07yv9,/m/0k4j,/t/dd00129"
0gFSg32UnTc,200.0,210.0,/t/dd00129
0gdoyGx2NMg,490.0,500.0,"/m/07yv9,/m/0k4j,/m/0ltv,/t/dd00129"
0ggGlP6OlHg,40.0,50.0,"/m/011k_j,/m/04rlf,/t/dd00129"
0gk9dznEN60,0.0,10.0,"/m/0bt9lr,/m/0jbk,/t/dd00125,/t/dd00129"
0hCHx4QPF9Q,150.0,160.0,"/m/01w250,/t/dd00129"
0hCUg_SBCqQ,70.0,80.0,"/m/07yv9,/t/dd00129"
0hcnRJquMZo,120.0,130.0,"/m/07yv9,/m/0k4j,/t/dd00129"
0hoT2Z7UfEA,130.0,140.0,"/m/0284vy3,/m/04rlf,/t/dd00129"
0i651wQCJQ4,150.0,160.0,"/m/07yv9,/m/0k4j,/m/0ltv,/t/dd00129"
0i9Oo63-Cik,80.0,90.0,"/m/07yv9,/t/dd00129"
0iRKrAllyNA,430.0,440.0,"/m/04rlf,/t/dd00129"
0iYTcE9ca80,25.0,35.0,"/m/04rlf,/m/06h7j,/t/dd00129"
0ifkwUK2WlA,90.0,100.0,"/m/0cj0r,/t/dd00129"
0irxtsd3mvw,130.0,140.0,"/m/09t49,/t/dd00129"
0jDbI9uk1ms,10.0,20.0,"/m/07yv9,/m/0k4j,/t/dd00129"
0jEmJw_kl7I,180.0,190.0,"/m/07yv9,/t/dd00129"
0jQLSUXLBkc,20.0,30.0,"/m/01jwx6,/m/07yv9,/t/dd00129"
0jdk3KRRWZQ,100.0,110.0,/t/dd00129
0jgOxu0c_GY,20.0,30.0,"/m/07yv9,/m/0k4j,/t/dd00129"
0k2fv8hE0R8,20.0,30.0,"/m/07pb8fc,/m/07r04,/m/07yv9,/t/dd00129"
0kd7Q1nAoIA,22.0,32.0,"/m/078jl,/m/0jbk,/t/dd00129"
0l1EKkZq1PI,160.0,170.0,"/m/07yv9,/m/0k4j,/t/dd00129"
0lLNkCChFKI,250.0,260.0,/t/dd00129
0lUkeW8R5AE,490.0,500.0,"/m/019jd,/m/04rlf,/t/dd00129"
0lWNhlsNzBk,0.0,10.0,"/m/07yv9,/t/dd00129"
0l_BUt8_uGQ,30.0,40.0,/t/dd00129
0lqy-7XINYo,80.0,90.0,"/m/07yv9,/m/0k4j,/m/0ltv,/t/dd00129"
0lv-e1BetzM,80.0,90.0,"/m/05kq4,/t/dd00129"
0lwhljgfFQY,70.0,80.0,"/m/07yv9,/t/dd00129"
0mcFK8aSsmA,30.0,40.0,"/m/019jd,/t/dd00129"
0n1Y4rUeqpw,60.0,70.0,/t/dd00129
0nlJ6Juv4k0,0.0,10.0,"/m/028v0c,/m/07yv9,/m/0k4j,/m/0ltv,/t/dd00129"
0o-zEuQtPxQ,280.0,290.0,/t/dd00129
0oQELuGh7MY,50.0,60.0,"/m/07yv9,/m/0k4j,/t/dd00129"
0oQs-hPHxQA,40.0,50.0,"/m/06d_3,/m/07jdr,/m/07yv9,/t/dd00129"
0oiw-qVillk,80.0,90.0,"/m/04rlf,/t/dd00129"
0pNLmwA8DdI,430.0,440.0,"/m/068hy,/m/0bt9lr,/m/0j6m2,/m/0jbk,/t/dd00129"
0pW7nBijfRw,180.0,190.0,"/m/04rlf,/t/dd00129"
